epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,271.667,0.54773,0.78867,1.01699,0.99095,1,0.995,0.71625,1.03766,1.7283,1.99796,0.000381336,0.000381336,0.000381336
68,276.41,0.60248,0.77761,1.02281,0.99095,1,0.995,0.71625,1.03766,1.7283,1.99796,0.000376057,0.000376057,0.000376057
69,281.35,0.57821,0.7633,1.07363,0.99159,1,0.995,0.77317,0.88757,1.70383,1.81971,0.000370447,0.000370447,0.000370447
70,286.067,0.61648,0.81319,1.13545,0.99159,1,0.995,0.77317,0.88757,1.70383,1.81971,0.000364508,0.000364508,0.000364508
71,290.898,0.54875,0.77781,1.00299,0.99159,1,0.995,0.77317,0.88757,1.70383,1.81971,0.000358238,0.000358238,0.000358238
72,295.611,0.4939,0.73829,1.05129,0.99041,1,0.995,0.75156,0.9445,1.68896,1.92098,0.000351639,0.000351639,0.000351639
73,300.166,0.50265,0.7578,1.05169,0.99041,1,0.995,0.75156,0.9445,1.68896,1.92098,0.000344709,0.000344709,0.000344709
74,304.74,0.53056,0.76846,1.06342,0.99041,1,0.995,0.75156,0.9445,1.68896,1.92098,0.000337449,0.000337449,0.000337449
75,309.402,0.5044,0.72024,1.01073,0.99059,1,0.995,0.68992,1.00222,1.72961,2.05176,0.000329859,0.000329859,0.000329859
76,314.079,0.47415,0.76615,1.02969,0.99059,1,0.995,0.68992,1.00222,1.72961,2.05176,0.000321939,0.000321939,0.000321939
77,318.564,0.5363,0.8121,1.05061,0.99059,1,0.995,0.68992,1.00222,1.72961,2.05176,0.000313689,0.000313689,0.000313689
78,323.125,0.55039,0.78684,1.04582,0.9908,1,0.995,0.71165,0.97493,1.74668,2.08366,0.000305109,0.000305109,0.000305109
79,327.62,0.51815,0.7572,1.04466,0.9908,1,0.995,0.71165,0.97493,1.74668,2.08366,0.000296199,0.000296199,0.000296199
80,332.525,0.47923,0.734,1.02474,0.9908,1,0.995,0.71165,0.97493,1.74668,2.08366,0.000286959,0.000286959,0.000286959
81,337.45,0.44741,0.78005,0.97693,0.99086,1,0.995,0.69963,1.04928,1.76989,2.21716,0.000277389,0.000277389,0.000277389
82,342.552,0.55374,0.87041,1.1657,0.99086,1,0.995,0.69963,1.04928,1.76989,2.21716,0.000267488,0.000267488,0.000267488
83,347.171,0.55638,0.8126,1.07232,0.99086,1,0.995,0.69963,1.04928,1.76989,2.21716,0.000257258,0.000257258,0.000257258
84,351.794,0.47179,0.71736,1.00658,0.98913,1,0.995,0.68084,1.19403,1.74543,2.40546,0.000246698,0.000246698,0.000246698
85,356.432,0.42371,0.73542,1.01109,0.98913,1,0.995,0.68084,1.19403,1.74543,2.40546,0.000235807,0.000235807,0.000235807
86,360.921,0.50346,0.73377,1.06864,0.98913,1,0.995,0.68084,1.19403,1.74543,2.40546,0.000224587,0.000224587,0.000224587
87,365.474,0.55416,0.70746,0.9611,0.98913,1,0.995,0.68084,1.19403,1.74543,2.40546,0.000213036,0.000213036,0.000213036
88,370.124,0.51702,0.7836,1.03004,0.98789,1,0.995,0.64601,1.25113,1.77585,2.50568,0.000201155,0.000201155,0.000201155
89,375.106,0.50683,0.76877,1.03354,0.98789,1,0.995,0.64601,1.25113,1.77585,2.50568,0.000188944,0.000188944,0.000188944
90,379.726,0.44971,0.72069,1.05786,0.98789,1,0.995,0.64601,1.25113,1.77585,2.50568,0.000176404,0.000176404,0.000176404
91,384.273,0.57965,2.1406,1.29925,0.98789,1,0.995,0.64601,1.25113,1.77585,2.50568,0.000163533,0.000163533,0.000163533
92,388.815,0.56618,1.8493,1.13652,0.9889,1,0.995,0.646,1.28922,1.72133,2.63163,0.000150332,0.000150332,0.000150332
93,393.238,0.52744,1.8375,1.0863,0.9889,1,0.995,0.646,1.28922,1.72133,2.63163,0.000136801,0.000136801,0.000136801
94,397.787,0.55146,2.01793,1.23674,0.9889,1,0.995,0.646,1.28922,1.72133,2.63163,0.00012294,0.00012294,0.00012294
95,402.716,0.4614,1.69794,1.09928,0.9889,1,0.995,0.646,1.28922,1.72133,2.63163,0.000108748,0.000108748,0.000108748
96,407.587,0.45839,1.91781,1.10133,0.99028,1,0.995,0.62926,1.27525,1.69533,2.56731,9.42272e-05,9.42272e-05,9.42272e-05
97,412.581,0.47308,1.69671,1.13721,0.99028,1,0.995,0.62926,1.27525,1.69533,2.56731,7.93759e-05,7.93759e-05,7.93759e-05
98,417.474,0.52737,1.77332,1.24518,0.99028,1,0.995,0.62926,1.27525,1.69533,2.56731,6.41945e-05,6.41945e-05,6.41945e-05
99,422.189,0.41282,1.49774,1.02761,0.99028,1,0.995,0.62926,1.27525,1.69533,2.56731,4.86831e-05,4.86831e-05,4.86831e-05
100,427.682,0.36355,1.49589,1.04498,0.99105,1,0.995,0.66276,1.26942,1.6918,2.49593,3.28416e-05,3.28416e-05,3.28416e-05
